0,2
0,7
0,41
0,44
0,53
0,95
1,4
1,10
1,19
1,24
1,35
1,36
1,40
1,45
1,47
1,59
1,73
2,12
2,17
2,23
2,31
2,38
2,61
2,77
3,33
3,40
3,56
3,72
3,92
3,98
4,21
4,26
4,28
4,40
4,51
4,53
4,57
4,58
4,60
4,61
4,65
4,76
4,82
4,88
5,8
5,13
5,15
5,34
5,43
5,47
5,56
5,60
5,78
6,13
6,17
6,25
6,37
6,57
6,65
6,74
6,77
6,78
6,91
6,97
7,10
7,18
7,21
7,27
7,28
7,32
7,33
7,44
7,54
7,60
7,83
7,87
7,88
7,93
7,99
8,25
8,51
8,71
8,74
8,87
8,91
8,92
8,94
9,25
9,38
9,60
9,68
9,69
9,71
9,76
9,78
9,80
9,90
10,12
10,17
10,18
10,43
10,59
10,60
10,62
10,67
10,68
10,78
10,79
10,99
11,12
11,19
11,31
11,47
11,57
11,78
11,81
12,18
12,26
12,39
12,42
12,51
12,54
12,63
12,66
12,84
12,92
13,28
13,40
13,59
13,68
13,94
13,98
14,18
14,25
14,32
14,39
14,41
14,47
14,53
14,58
14,63
14,64
14,75
14,79
14,83
14,84
14,86
14,87
14,94
14,95
15,26
15,42
15,44
15,49
15,62
15,75
15,84
16,22
16,40
16,48
16,51
16,58
16,65
16,80
16,81
17,57
17,65
17,81
17,88
18,24
18,29
18,32
18,37
18,38
18,59
18,61
18,64
18,82
18,83
18,89
18,91
18,92
19,34
19,36
19,74
19,93
19,94
20,24
20,29
20,38
20,40
20,42
20,49
20,57
20,60
20,74
20,87
20,89
20,90
21,45
21,60
21,66
21,78
21,96
22,35
22,41
22,43
22,45
22,57
22,66
22,67
22,75
22,84
22,88
22,90
22,97
23,28
23,31
23,47
23,49
23,54
23,67
23,88
24,53
24,59
24,65
24,70
24,73
25,45
25,48
25,58
25,74
26,33
26,41
26,47
26,55
26,79
26,85
26,96
27,32
27,41
27,44
27,46
27,55
27,56
27,61
27,74
27,94
28,29
28,39
28,45
28,47
28,56
28,88
29,41
29,44
29,45
29,54
29,60
29,61
29,86
30,40
30,66
30,77
30,82
30,88
30,93
30,95
31,33
31,38
31,45
31,47
31,64
31,65
31,82
31,90
32,37
32,41
32,43
32,46
32,67
32,71
32,83
32,94
33,35
33,84
33,85
33,87
34,58
34,65
34,68
34,71
35,49
35,65
35,67
35,69
35,76
35,79
35,80
35,94
36,58
36,59
36,62
36,68
36,70
36,93
37,47
37,55
37,70
37,74
37,87
37,94
38,49
38,62
38,63
38,69
38,76
38,78
38,85
38,89
38,94
39,52
39,69
39,72
39,98
40,41
40,46
40,57
40,58
40,68
40,72
40,83
40,87
40,88
40,97
41,45
41,56
41,70
42,54
42,55
42,74
42,79
42,93
42,98
43,45
43,51
43,53
43,69
43,77
43,84
43,86
44,45
44,54
44,68
44,70
44,91
44,98
46,64
46,87
46,90
47,52
47,70
47,71
47,72
47,76
47,77
47,82
47,90
48,57
48,98
49,50
49,80
49,81
50,52
50,94
51,52
51,57
51,64
51,84
52,64
52,89
53,56
53,63
53,64
53,72
53,73
53,95
54,79
54,80
54,86
54,97
54,98
55,59
55,84
55,89
56,59
56,62
56,73
56,76
56,78
56,87
57,59
57,69
57,73
57,74
57,82
58,61
58,65
58,70
58,72
58,91
58,92
58,94
59,78
60,64
60,73
60,83
60,86
61,72
61,83
61,90
61,98
62,66
62,77
62,89
62,90
63,72
63,88
63,91
63,92
63,97
64,70
64,74
64,75
64,87
64,89
64,98
65,68
65,71
66,71
66,72
67,69
67,84
67,92
67,98
68,89
68,90
69,72
69,74
69,76
69,98
70,74
70,97
71,85
72,77
72,83
73,76
73,85
73,90
74,90
75,77
75,90
75,92
75,94
76,79
76,88
76,89
76,98
77,81
77,95
78,98
78,99
80,93
80,96
81,85
81,89
82,99
83,98
84,87
85,92
85,98
86,89
86,90
87,93
89,90
94,95
95,98
96,97
